# ops request: type='xos'
issue       sev     pri  classification  owner                   status            scope                                  title                                                       
----------  ------  ---  --------------  ----------------------  ----------------  -------------------------------------  ------------------------------------------------------------
XOS-000001  HIGH    P1   STRATEGY        RESEARCH_LAB            CLOSED_NO_ACTION  mmsell-scheduled-settle-live · v1      imported gate addresses deployment_kind=paper; epoch has no 
XOS-000002  HIGH    P1   STRATEGY        RESEARCH_LAB            CLOSED_NO_ACTION  theta4-fat-tail · v1                   imported gate addresses deployment_kind=paper AND decides on
XOS-000004  MEDIUM  P2   OPS             LIVE_OPS                RESOLVED          system-wide                            Series-addressed books can see zero markets indefinitely wit
XOS-000006  MEDIUM  P2   PLATFORM        PLATFORM_CHANGE_REVIEW  RESOLVED          system-wide                            MMSELL settle-mode taxonomy: 198 unclassified series prefixe
XOS-000007  MEDIUM  P2   OPS             LIVE_OPS                RESOLVED          system-wide                            Concurrent force-refreshes of the ops branch can overwrite a
XOS-000008  MEDIUM  P2   PLATFORM        PLATFORM_CHANGE_REVIEW  OPEN              revision:settlement_repair_2026_08_24  Settlement-taxonomy coverage decays over a long-running expe
XOS-000003  LOW     P2   STRATEGY        RESEARCH_LAB            ACTION_REQUIRED   freeze-dark-window-pin · v1/e1         freeze-dark-window-pin is deployed but has produced zero evi
XOS-000005  LOW     P3   OPS             LIVE_OPS                RESOLVED          system-wide                            issue-command-show and issue-command-list are documented as 
XOS-000009  LOW     P3   STRATEGY        RESEARCH_LAB            OPEN              system-wide                            MMSELL skip=BTC+ETH+SOL+DOGE+XRP+CRYPTO is a substring block
XOS-000010  LOW     P3   OPS             LIVE_OPS                OPEN              system-wide                            Platform-command receipt metadata is invisible through the p
