# latest deployment 7c9fc1d7-9a8c-4c53-898e-dead1441c7c9 (status=SUCCESS, created=2026-08-31T11:27:50.994Z)
# ops request: type='logs'
# target service: main
2026-08-31T11:28:35.193779900Z INFO  Starting Container
2026-08-31T11:28:35.691588738Z ERROR  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-08-31T11:28:35.691592943Z ERROR  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-08-31T11:28:36.701991754Z INFO  starting kalshi bot
2026-08-31T11:28:36.922906201Z INFO  experiment OS enforcement
2026-08-31T11:28:36.946942529Z ERROR  experiment OS config drift detected at boot
2026-08-31T11:28:37.946077282Z INFO  api limits probe: {"grants": [{"exchange_instance": "event_contract", "level": "advanced", "source": "manual"}], "read": {"bucket_capacity": 900, "refill_rate": 300}, "usage_tier": "advanced", "write": {"bucket_capacity": 900, "refill_rate": 300}}
2026-08-31T11:28:37.946081166Z INFO  kalshi api tier upgrade skipped
2026-08-31T11:28:37.946085232Z INFO  live/paper twins configured
2026-08-31T11:28:37.946089561Z INFO  live recover: reconciling in-flight orders
2026-08-31T11:28:38.792961459Z INFO  abandoned foreign paper positions
2026-08-31T11:28:58.249818618Z INFO  gate evaluation cycle
2026-08-31T11:28:58.249825756Z INFO  perps tape cycle
2026-08-31T11:28:58.249832118Z INFO  exchange status
2026-08-31T11:30:18.430537246Z INFO  polymarket index
2026-08-31T11:30:18.430548499Z INFO  weather market
2026-08-31T11:30:18.430555697Z INFO  weather market
2026-08-31T11:30:18.430563214Z INFO  weather market
2026-08-31T11:30:18.482675232Z INFO  weather market
2026-08-31T11:30:19.244392802Z INFO  weather market
2026-08-31T11:30:20.425269179Z INFO  weather market
2026-08-31T11:30:21.258715022Z INFO  weather market
2026-08-31T11:30:27.218744787Z INFO  weather cycle
2026-08-31T11:30:27.218753752Z INFO  live cycle
2026-08-31T11:31:07.095475533Z INFO  weather validation
2026-08-31T11:31:07.095480720Z INFO  live/paper twin epoch
2026-08-31T11:31:16.076977200Z INFO  mmsell live order placed (resting maker no-buy)
2026-08-31T11:31:36.085239297Z INFO  mmsell live order placed (resting maker no-buy)
2026-08-31T11:31:36.085253681Z INFO  mmsell live order placed (resting maker no-buy)
2026-08-31T11:31:36.085261929Z INFO  mmsell live order placed (resting maker no-buy)
2026-08-31T11:31:36.085272777Z INFO  mmsell live order placed (resting maker no-buy)
